,disposets,number_occurrences,average_days_occurrences,std_days_occurrences,batch_means,maxim_service_disposet,sds-psg_x,coefficient_variation,disposet_classification,probability_disposet,prob_superdisposet,lambda_rate,kmin,kmax,stock
606,AZV7F6,125.0,16.344,65.79563962413002,-7.768,725.0,V04,4.025675454241925,overdispersion,0.0822909809084924,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
607,DAZRSV,167.0,13.065868263473051,56.43475150476192,-1.7005988023952097,725.0,V04,4.319250000593603,overdispersion,0.1099407504937458,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
608,AZV3CT,212.0,10.273584905660377,50.50597693856464,-7.047169811320755,725.0,V04,4.916100601917219,overdispersion,0.1395655036208031,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
609,AZVFM5,144.0,15.104166666666666,62.3211532014904,-12.993055555555555,725.0,V04,4.126090142995227,overdispersion,0.0947992100065832,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
610,EK25FF,42.0,49.5,118.78906289475742,-1.0,729.0,V04,2.399779048378938,overdispersion,0.0276497695852534,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
611,DAXYFY,18.0,120.33333333333331,169.95085794913498,-1.0,729.0,V04,1.412333999577299,overdispersion,0.0118499012508229,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
612,DAYT2Q,109.0,19.93577981651376,70.90411825647963,-1.6330275229357798,731.0,V04,3.5566262724143027,overdispersion,0.0717577353522053,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,stock model accepted
613,DAZ9E6,80.0,27.025,82.94057274696708,-1.725,733.0,V04,3.0690313689904563,overdispersion,0.0526662277814351,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
614,I06NZP,242.0,8.991735537190083,47.59406425345639,-5.475206611570248,733.0,V04,5.293089866422999,overdispersion,0.1593153390388413,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
615,I07SBQ,136.0,15.838235294117649,65.48454390309273,-5.602941176470588,734.0,V04,4.134585873175771,overdispersion,0.0895325872284397,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
616,I0L7Z3,249.0,8.690763052208835,47.09458519466265,-8.971887550200803,736.0,V04,5.418924082010628,overdispersion,0.1639236339697169,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
617,LEXS4P,335.0,6.483582089552239,40.58655494397173,-4.7432835820895525,736.0,V04,6.259896826072988,overdispersion,0.2205398288347597,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
618,DAXQ9Z,43.0,50.395348837209305,119.64772489725704,-2.116279069767442,738.0,V04,2.3741818968998856,overdispersion,0.0283080974325213,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
619,CW70WU,41.0,48.8780487804878,114.55134113618034,-1.0,739.0,V04,2.3436152627661646,overdispersion,0.0269914417379855,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
620,I0L5D8,41.0,50.78048780487805,123.47419005507224,-1.7073170731707317,740.0,V04,2.431528238356369,overdispersion,0.0269914417379855,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
621,I0B98D,63.0,34.34920634920635,97.13661127175456,-13.634920634920634,750.0,V04,2.827914283789528,overdispersion,0.0414746543778801,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
622,I07T3A,55.0,39.16363636363637,105.78485567526047,-1.2727272727272727,752.0,V04,2.701098914642213,overdispersion,0.0362080315997366,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
623,I097D0,63.0,30.714285714285715,95.36541412892606,-1.5238095238095235,755.0,V04,3.104920460011546,overdispersion,0.0414746543778801,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
624,US9PM1,238.0,9.079831932773107,51.28646621526259,-4.928571428571429,756.0,V04,5.648393780301943,overdispersion,0.1566820276497695,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
625,KF61XE,186.0,11.327956989247312,57.0308117113214,-6.306451612903226,759.0,V04,5.034518736737437,overdispersion,0.1224489795918367,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
626,I03Q01,18.0,113.16666666666669,178.0664945198513,-1.0,761.0,V04,1.5734889059191572,overdispersion,0.0118499012508229,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
627,I0HXHY,145.0,14.772413793103448,64.86682348683362,-2.013793103448276,763.0,V04,4.391078153870623,overdispersion,0.0954575378538512,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
628,I03PZ8,39.0,49.41025641025641,121.22569597953232,-1.2820512820512822,763.0,V04,2.453452072237551,overdispersion,0.0256747860434496,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
629,NGGPHR,1072.0,2.0279850746268657,24.514161772375672,-3.046641791044776,763.0,V04,12.087939935596468,overdispersion,0.7057274522712311,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
630,NGJR0W,38.0,49.94736842105263,125.07553336660884,-1.0,775.0,V04,2.5041466111333697,overdispersion,0.0250164581961816,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
631,I0AF0Y,74.0,29.22972972972973,93.55469388476004,-10.635135135135137,777.0,V04,3.200669138914583,overdispersion,0.0487162606978275,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
632,LEX5PM,195.0,10.93846153846154,56.41704344819365,-10.374358974358977,779.0,V04,5.157676264602795,overdispersion,0.1283739302172482,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
633,DAXG30,21.0,91.38095238095238,171.91581550005114,-1.5238095238095235,781.0,V04,1.8813090805112425,overdispersion,0.0138248847926267,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
634,I0L5GS,27.0,79.85185185185185,148.09604568130354,-1.1851851851851851,781.0,V04,1.854635080424488,overdispersion,0.0177748518762343,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
635,B2LW6Q,24.0,88.41666666666667,157.50221990614074,-1.25,785.0,V04,1.781363467364457,overdispersion,0.0157998683344305,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
636,I0L5FX,63.0,33.888888888888886,100.65304686045975,-1.6825396825396826,789.0,V04,2.970089907357829,overdispersion,0.0414746543778801,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
637,I0CRTF,52.0,41.13461538461539,110.78189645516146,-1.0,791.0,V04,2.693155033038053,overdispersion,0.0342330480579328,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
638,R8NCZ3,41.0,51.04878048780488,128.92477481452357,-1.5853658536585369,798.0,V04,2.5255211502128363,overdispersion,0.0269914417379855,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
639,DAZMP0,44.0,49.20454545454545,120.3849599555921,-1.25,798.0,V04,2.4466227427464444,overdispersion,0.0289664252797893,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
640,DAZDHS,17.0,121.41176470588236,183.71243113339168,-1.0,798.0,V04,1.513135333947509,overdispersion,0.0111915734035549,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
641,I02Q6T,56.0,38.160714285714285,108.87286610549928,-1.7857142857142858,806.0,V04,2.853009125834328,overdispersion,0.0368663594470046,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
642,EUGGH6,10.0,164.3,253.8718180499758,-1.0,832.0,V04,1.5451723557515262,overdispersion,0.0065832784726793,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
643,I040BK,19.0,111.47368421052632,188.87425811930265,-1.0,834.0,V04,1.6943394259994098,overdispersion,0.0125082290980908,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
644,DAZZYU,38.0,56.94736842105263,138.22991958531733,-1.236842105263158,849.0,V04,2.427327608244944,overdispersion,0.0250164581961816,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
645,PZYTSZ,122.0,17.475409836065573,80.78532035814327,-1.524590163934426,852.0,V04,4.622799757829962,overdispersion,0.0803159973666886,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
646,I00E2A,17.0,116.17647058823528,235.8087772152782,-1.0,858.0,V04,2.0297464367897367,overdispersion,0.0111915734035549,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
647,EK1EX0,46.0,42.73913043478261,127.1433897058503,-4.173913043478261,860.0,V04,2.974870766260993,overdispersion,0.0302830809743252,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
648,R8PPYT,46.0,46.32608695652174,133.29633725864355,-1.5869565217391304,873.0,V04,2.8773493730162376,overdispersion,0.0302830809743252,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
649,I0HXHQ,27.0,70.0,168.33597357665414,-1.2592592592592593,880.0,V04,2.4047996225236306,overdispersion,0.0177748518762343,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
650,I02Q6R,41.0,52.1219512195122,137.00824703680271,-2.0,881.0,V04,2.628609325460417,overdispersion,0.0269914417379855,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
651,LS29WZ,43.0,49.76744186046512,137.9997993803411,-1.302325581395349,883.0,V04,2.772893165119003,overdispersion,0.0283080974325213,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
652,DAY2J2,18.0,120.33333333333331,201.77652169140575,-1.2222222222222223,897.0,V04,1.6768131996515716,overdispersion,0.0118499012508229,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
653,B2CU91,39.0,54.92307692307692,143.2124635518822,-2.358974358974359,897.0,V04,2.607509840580488,overdispersion,0.0256747860434496,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
